cell_idx,dist_mean,dist_std,yaw_mean,yaw_std,count
2677,213.64144925785652,,84.010986328125,,1.0
2678,173.18665444050595,61.54782501422165,109.16646432876587,47.981176901011246,8.0
2679,203.5888791241886,39.959607940893385,80.63409662246704,42.18326458516064,8.0
2680,118.19605069568696,83.73624909221523,107.99504361833844,68.25717175279242,7.0
2683,131.41370957528238,100.22461672132809,36.957015991210945,29.825555402736995,3.0
2684,160.04708395155725,7.6729298052394075,173.12058639526367,2.9465461965088813,2.0
2685,184.94602859969297,54.59637644847219,112.92152862548828,42.54797536867479,5.0
2686,216.3348887152322,,93.56950378417969,,1.0
2689,147.72627608364488,54.378167089866,98.53933715820314,46.46058190928886,4.0
2690,101.93209921636803,,16.643096923828125,,1.0
2691,131.00562226257287,107.36383012932177,119.04964701334636,60.79727380860672,3.0
2692,145.75755510681398,99.16255135987393,110.0447784423828,42.88746221682574,5.0
2696,218.91753390022322,29.649472730998305,91.3905029296875,72.84143219770357,3.0
2700,110.23128482533654,61.546730191158325,110.79229736328125,51.967346370018916,3.0
2701,95.7594166099597,,56.4737548828125,,1.0
2702,168.17728530276358,79.80915845254994,117.92356363932292,54.7115479604492,3.0
2705,208.02828888250139,36.83414652649779,71.65012499690056,13.79410359997751,4.0
2706,122.89306569020785,67.37176467252955,76.71858433314732,66.26851557201897,7.0
2707,198.0807279345163,29.303548326217793,121.04071807861328,47.11400561976129,4.0
2708,168.4622599785561,82.35709268729546,69.19618116106305,73.83651179838874,7.0
2711,174.24535209545238,66.46813687205729,97.13963317871094,67.23728192434372,4.0
2712,137.9872349523611,61.59064498924478,109.59376316070556,68.5981469876323,10.0
2713,175.47546311694498,73.02810195534548,63.527542461048476,70.24443931442876,11.0
2715,249.30456178790502,,114.59822082519531,,1.0
2724,225.95214670567728,,53.828552246093764,,1.0
2726,204.939824717581,48.4889206158714,90.44528059959411,61.39489642938545,10.0
2727,206.92538171180752,40.98422555714334,75.56738917032878,58.39877669975982,9.0
2728,141.51330185702594,76.94311916958829,114.07754582828946,29.7928526788865,9.0
2729,120.05249254542075,73.3522097359083,107.37768173217773,35.21195258605891,10.0
2730,171.24163386511114,46.794466144163636,68.20232718331474,64.20666419788937,7.0
2732,101.00002969800764,72.16180005576801,38.783535427517364,56.118545641918885,9.0
2733,146.9977463874832,47.45923067427168,106.36107571919759,71.84436692347599,12.0
2734,132.33324152956712,63.2387121921003,62.34395057924332,53.26408972626427,31.0
2735,143.66476317803009,90.85346118670046,85.78491096496582,60.449091984782015,15.0
2736,160.07873834339145,25.842172989337083,66.41776180267334,71.39082520090447,8.0
2737,126.3580875480173,86.8539364272538,43.30435132980347,49.89672914466679,12.0
2739,174.30701877602365,45.97101277237708,66.34363651275635,40.33003806558402,5.0
2740,233.6314330836865,5.409132270948202,121.45487976074219,25.615681156658848,2.0
2741,104.02478668048839,88.82149074331623,98.50585451993075,77.44003816321944,11.0
